Source	Cluster	perClusterFreq	ClusterFreq	ClusterGenomeSize	perTotalFreq	TotalFreq	OdsRatio	pvalue	padj	AccnetGenomeSize	AccnetProteinSize	Type	TwinGroup	Description
Cluster_29881	1	0.8571428571428571	90	105	0.47738693467336685	95	1.795488721804511	7.599295680691473e-36	1.4957254759401833e-34	199	27256	Cluster	Single	WP_000623318.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_9508	1	0.9333333333333333	98	105	0.5628140703517588	112	1.6583333333333334	5.1652729812475365e-34	1.0156457544328293e-32	199	27256	Cluster	Twin_494	WP_001454873.1 1,2-phenylacetyl-CoA epoxidase subunit A [Escherichia coli]
Cluster_134	1	0.8952380952380953	94	105	0.6180904522613065	123	1.448393341076268	1.1473293871724433e-19	2.234998527636275e-18	199	27256	Cluster	Single	WP_001276847.1 MULTISPECIES: transcriptional regulator [Proteobacteria]
Cluster_460	1	0.9809523809523809	103	105	0.5376884422110553	107	1.8243880729862039	5.446940144295292e-52	1.0751753772273908e-50	199	27256	Cluster	Single	WP_071524601.1 MULTISPECIES: hypothetical protein [Proteobacteria]
Cluster_26430	1	0.8476190476190476	89	105	0.6984924623115578	139	1.2134977732100034	2.0372892528716463e-7	3.856827042970925e-6	199	27256	Cluster	Single	WP_001251542.1 hydrogenase [Escherichia coli]
Cluster_19191	1	0.9238095238095239	97	105	0.628140703517588	125	1.470704761904762	1.0125007752940162e-22	1.9797204936755865e-21	199	27256	Cluster	Single	WP_097475597.1 fimbrial biogenesis outer membrane usher protein [Escherichia coli]
Cluster_29353	1	0.9619047619047619	101	105	0.7185929648241206	143	1.3385947385947385	1.0128067059256312e-18	1.9671681194213227e-17	199	27256	Cluster	Single	WP_089570689.1 HlyD family secretion protein, partial [Escherichia coli]
Cluster_2670	1	0.9714285714285714	102	105	0.7336683417085427	146	1.3240704500978475	8.199407336537137e-19	1.5930324585612637e-17	199	27256	Cluster	Single	WP_001165677.1 fimbrial protein [Escherichia coli]
Cluster_24916	1	0.9333333333333333	98	105	0.7939698492462312	158	1.1755274261603377	2.124236022573845e-8	4.036025683395891e-7	199	27256	Cluster	Single	WP_001298951.1 MFS transporter [Escherichia coli]
Cluster_345	1	0.9714285714285714	102	105	0.6582914572864321	131	1.475681570338059	1.9213505507349932e-27	3.768258542763881e-26	199	27256	Cluster	Single	WP_000772931.1 hypothetical protein [Escherichia coli]
Cluster_5819	1	0.8952380952380953	94	105	0.5477386934673367	109	1.6344255133245957	2.785019893893514e-29	5.467525941781214e-28	199	27256	Cluster	Single	WP_000553749.1 MULTISPECIES: fimbrial-like adhesin protein [Proteobacteria]
Cluster_429	1	0.8476190476190476	89	105	0.5628140703517588	112	1.5060374149659863	9.762471716001419e-20	1.90191652004592e-18	199	27256	Cluster	Single	WP_032146743.1 hypothetical protein [Escherichia coli]
Cluster_9234	1	0.9714285714285714	102	105	0.7336683417085427	146	1.3240704500978475	8.199407336537137e-19	1.5930324585612637e-17	199	27256	Cluster	Single	WP_001019512.1 peptidase [Escherichia coli]
